Date,Open,High,Low,Close,Volume
2020-01-17,139.68,140.06,139.47,140.04,91066
2020-01-16,139.44,140.1,139.37,140.1,103996
2020-01-15,139.61,139.82,139.28,139.36,138242
2020-01-14,140.42,140.71,140.02,140.37,109402
2020-01-13,140.16,140.65,139.72,140.56,114138
2020-01-10,140.0,140.16,139.47,139.73,171995
2020-01-09,141.16,141.16,140.11,140.51,116168
2020-01-08,140.91,141.58,140.6,141.16,117713
2020-01-07,142.13,142.43,141.36,141.51,123666
2020-01-06,139.46,140.891,139.46,140.77,150386
2020-01-03,141.23,141.42,140.3,140.75,174894
2020-01-02,142.0,142.35,141.53,142.24,118092
2019-12-31,140.58,140.731,140.13,140.54,89719
2019-12-30,141.46,141.46,140.44,140.61,91808
2019-12-27,142.0,142.0,141.24,141.28,132999
2019-12-26,141.36,141.53,140.84,141.53,73655
2019-12-24,141.5,141.68,141.19,141.34,66718
2019-12-23,142.12,142.12,141.7,141.96,85899
2019-12-20,140.56,142.255,140.56,141.97,129349
2019-12-19,142.98,143.0,142.46,142.76,93079
2019-12-18,142.42,142.54,142.14,142.39,69679
2019-12-17,142.31,142.86,142.29,142.77,70562
2019-12-16,142.19,142.65,142.18,142.53,75937
2019-12-13,142.61,142.88,141.78,142.1,89136
2019-12-12,140.85,141.8,140.23,141.6,150024
2019-12-11,141.33,141.83,140.98,141.62,139505
2019-12-10,141.3,141.66,141.0,141.18,146983
2019-12-09,143.13,143.13,141.86,141.89,103754
2019-12-06,142.6,142.85,142.33,142.77,93854
2019-12-05,143.1,143.131,142.58,142.83,91527
2019-12-04,144.02,144.02,142.74,143.38,175402
2019-12-03,140.51,140.79,139.95,140.73,109287
2019-12-02,141.35,141.35,139.7,140.27,117860
2019-11-29,140.15,140.58,140.065,140.21,107847
2019-11-27,141.49,141.86,141.01,141.66,179877
2019-11-26,141.98,142.0,141.28,141.97,86419
2019-11-25,140.75,142.7,140.75,142.54,115675
2019-11-22,143.1,143.1,142.345,142.53,69924
2019-11-21,142.1,142.38,141.86,142.14,61290
2019-11-20,141.75,141.87,140.5,141.37,94134
2019-11-19,143.56,143.56,142.8,142.85,133305
2019-11-18,143.3,143.76,143.27,143.6,130395
2019-11-15,144.01,144.4,143.922,144.27,114505
2019-11-14,143.5,143.87,142.88,143.87,98814
2019-11-13,144.49,144.71,144.03,144.56,113793
2019-11-12,144.77,145.28,143.68,144.54,119585
2019-11-11,144.95,145.41,144.35,145.06,210624
2019-11-08,144.0,144.579,143.93,144.39,192023
2019-11-07,142.7,143.5,142.64,142.86,179985
2019-11-06,140.63,140.85,140.19,140.37,98929
2019-11-05,140.88,140.94,140.41,140.74,80547
2019-11-04,140.03,140.63,140.03,140.56,138025
2019-11-01,139.62,140.09,139.45,139.83,115831
2019-10-31,138.7,138.86,138.25,138.55,166516
2019-10-30,137.42,139.09,137.42,139.02,136565
2019-10-29,138.2,138.74,138.2,138.68,149738
2019-10-28,137.66,138.36,137.66,138.34,117396
2019-10-25,138.22,138.44,137.72,138.28,147871
2019-10-24,137.9,138.17,137.67,138.15,137532
2019-10-23,136.75,137.32,136.61,137.32,112806
2019-10-22,136.6,136.99,136.3,136.35,80792
2019-10-21,136.42,136.7,136.21,136.32,95694
2019-10-18,135.92,135.98,135.382,135.77,115192
2019-10-17,136.18,136.35,135.61,135.95,115572
2019-10-16,137.18,137.43,136.59,136.76,172679
2019-10-15,136.8,137.36,136.38,136.87,169433
2019-10-14,135.28,135.56,135.025,135.07,55985
2019-10-11,135.2,136.22,135.06,135.45,148290
2019-10-10,132.46,133.0,132.3,132.65,91356
2019-10-09,132.71,133.41899999999998,132.71,133.01,137007
2019-10-08,131.87,132.165,131.18,131.43,152488
2019-10-07,131.2,131.87,130.98,131.15,183892
2019-10-04,131.35,131.96,131.1,131.82,119126
2019-10-03,130.59,131.22,129.74,131.2,149362
2019-10-02,132.22,132.47899999999998,130.985,131.47,136088
2019-10-01,134.63,134.63,132.98,133.29,302000
2019-09-30,133.55,134.68,133.11,134.49,172626
